ts_code,name,up_limit_times
002729.SZ,好利科技,8
603085.SH,天成自控,8
300077.SZ,国民技术,8
603693.SH,江苏新能,8
600279.SH,重庆港,8
601865.SH,福莱特,8
300071.SZ,福石控股,8
600732.SH,爱旭股份,8
603688.SH,石英股份,8
000676.SZ,智度股份,8
000617.SZ,中油资本,8
002718.SZ,友邦吊顶,8
300489.SZ,光智科技,8
300493.SZ,润欣科技,8
002155.SZ,湖南黄金,8
600302.SH,标准股份,8
603121.SH,华培动力,8
600661.SH,昂立教育,8
600895.SH,张江高科,8
600734.SH,实达集团,8
603882.SH,金域医学,8
600367.SH,红星发展,8
002167.SZ,东方锆业,8
603700.SH,宁水集团,8
603083.SH,剑桥科技,8
002777.SZ,久远银海,8
600892.SH,大晟文化,8
601828.SH,美凯龙,8
603906.SH,龙蟠科技,8
002686.SZ,亿利达,8
002398.SZ,垒知集团,7
002989.SZ,中天精装,7
600689.SH,上海三毛,7
002406.SZ,远东传动,7
002993.SZ,奥海科技,7
300106.SZ,西部牧业,7
003004.SZ,声迅股份,7
600580.SH,卧龙电驱,7
301357.SZ,北方长龙,7
601069.SH,西部黄金,7
300050.SZ,世纪鼎利,7
301001.SZ,凯淳股份,7
600633.SH,浙数文化,7
600775.SH,南京熊猫,7
300917.SZ,特发服务,7
601138.SH,工业富联,7
601136.SH,首创证券,7
603719.SH,良品铺子,7
605378.SH,野马电池,7
605289.SH,罗曼股份,7
003040.SZ,楚天龙,7
605277.SH,新亚电子,7
605266.SH,健之佳,7
002459.SZ,晶澳科技,7
300220.SZ,金运激光,7
603630.SH,拉芳家化,7
603617.SH,君禾股份,7
605588.SH,冠石科技,7
301000.SZ,肇民科技,7
600769.SH,祥龙电业,7
603613.SH,国联股份,7
003016.SZ,欣贺股份,7
600776.SH,东方通信,7
601099.SH,太平洋,7
600796.SH,钱江生化,7
301396.SZ,宏景科技,7
600537.SH,亿晶光电,7
002524.SZ,光正眼科,7
600576.SH,祥源文旅,7
002797.SZ,第一创业,7
002795.SZ,永和智控,7
002793.SZ,罗欣药业,7
600984.SH,建设机械,7
600371.SH,万向德农,7
600353.SH,旭光电子,7
600157.SH,永泰能源,7
002775.SZ,文科股份,7
002617.SZ,露笑科技,7
002625.SZ,光启技术,7
603696.SH,安记食品,7
600343.SH,航天动力,7
603690.SH,至纯科技,7
002735.SZ,王子新材,7
002733.SZ,雄韬股份,7
603686.SH,福龙马,7
600288.SH,大恒科技,7
603683.SH,晶华新材,7
002702.SZ,海欣食品,7
